,keyword,score
0,airport,0.2122413421646316
1,airports,0.2122413421646316
2,including,0.18515552347354491
5,includes,0.18515552347354491
3,included,0.18515552347354491
4,include,0.18515552347354491
6,sydney,0.1627878566042778
7,operating,0.14608041864922466
8,operations,0.14608041864922466
9,operation,0.14608041864922466
10,operators,0.14608041864922466
11,operated,0.14608041864922466
12,operate,0.14608041864922466
13,operator,0.14608041864922466
15,groups,0.14214510722503282
14,group,0.14214510722503282
17,service,0.13990536330961023
18,serviced,0.13990536330961023
16,services,0.13990536330961023
19,limited,0.12723674178998237
20,asset,0.12696651566134923
21,assets,0.12696651566134923
22,total,0.1267281210623113
23,secured,0.12578596618421087
25,year,0.1239207470170504
24,years,0.1239207470170504
26,management,0.12383729237720066
27,managing,0.12383729237720066
28,manage,0.12383729237720066
29,managed,0.12383729237720066
30,manager,0.12383729237720066
31,manages,0.12383729237720066
32,performances,0.12189523325236329
33,performed,0.12189523325236329
34,perform,0.12189523325236329
35,performing,0.12189523325236329
36,passengers,0.12148724412345567
37,directors,0.10466140260521906
38,director,0.10466140260521906
39,non,0.10440501868777183
40,risk,0.10156827435339028
41,risks,0.10156827435339028
42,customers,0.10138500288299306
43,business,0.10065376348168326
44,businesses,0.10065376348168326
49,improves,0.09911055001200893
48,improvements,0.09911055001200893
46,improving,0.09911055001200893
47,improve,0.09911055001200893
45,improved,0.09911055001200893
50,sal,0.09852827968470093
51,revenue,0.09828141908176329
52,revenues,0.09828141908176329
53,report,0.09712826780477553
54,reports,0.09712826780477553
55,reporting,0.09712826780477553
56,operational control,0.09636679343861254
60,investments,0.09338212015327395
61,investing,0.09338212015327395
58,invested,0.09338212015327395
59,invest,0.09338212015327395
57,investment,0.09338212015327395
62,planned,0.09117561375193717
63,plan,0.09117561375193717
64,plans,0.09117561375193717
65,market,0.09023605870031472
66,markets,0.09023605870031472
67,marketing,0.09023605870031472
70,boarding,0.09017173420878886
69,boards,0.09017173420878886
68,board,0.09017173420878886
71,performance highlights,0.08973700987803171
72,organisation new,0.0876776874583375
73,sustainability,0.08497755321747436
74,sustainable,0.08497755321747436
75,continuous improvement,0.08424553318454271
76,costs,0.08272252426470915
77,corporate,0.08085045758811803
78,corporations,0.08085045758811803
79,corporation,0.08085045758811803
80,security holder,0.07875694361246177
81,financial,0.07865255577541072
82,valued,0.07764496739606463
83,values,0.07764496739606463
84,passenger movements,0.07625846180666848
85,taxes,0.07625787119329366
86,provided,0.07584470314580286
87,providing,0.07584470314580286
88,provide,0.07584470314580286
89,provides,0.07584470314580286
90,provident,0.07584470314580286
91,securities equivalent,0.07518209693353839
92,international,0.07499171684151923
93,internal,0.07499171684151923
94,internally,0.07499171684151923
95,growth,0.07295023184452043
96,audits,0.07025742812106518
97,audited,0.07025742812106518
98,audit,0.07025742812106518
99,auditing,0.07025742812106518
105,continuously,0.0693805163570765
104,continuity,0.0693805163570765
103,continues,0.0693805163570765
102,continue,0.0693805163570765
101,continuing,0.0693805163570765
100,continued,0.0693805163570765
106,liabilities,0.06832759317425392
107,liability,0.06832759317425392
108,distribution,0.06603755745899564
109,distribute,0.06603755745899564
110,distributions,0.06603755745899564
111,based,0.06595824288776557
112,base,0.06595824288776557
115,expensed,0.06454145519179062
114,expense,0.06454145519179062
113,expenses,0.06454145519179062
116,providers requiring,0.0642546178907759
117,received,0.06369279030626708
118,receivables,0.06369279030626708
119,receives,0.06369279030626708
120,receive,0.06369279030626708
121,cash,0.06328375849608157
122,community,0.06322634622804499
123,communications,0.06322634622804499
124,communities,0.06322634622804499
125,communicate,0.06322634622804499
126,bonds,0.06252682581140741
127,customer focus,0.06220762749622452
128,balances,0.0616433965746517
129,balanced,0.0616433965746517
130,balance,0.0616433965746517
131,delivering,0.06162145747728962
132,deliver,0.06162145747728962
133,delivered,0.06162145747728962
134,delivers,0.06162145747728962
139,generated,0.06158318245353596
138,generating,0.06158318245353596
137,generate,0.06158318245353596
136,general,0.06158318245353596
135,generation,0.06158318245353596
140,increased,0.060850805329097486
141,increases,0.060850805329097486
142,increasing,0.060850805329097486
143,date,0.060143933530620954
144,dated,0.060143933530620954
145,dates,0.060143933530620954
146,lease receivable,0.059906106492790476
147,reported annually,0.05986683395184898
151,work,0.05915555834420831
150,worked,0.05915555834420831
148,works,0.05915555834420831
149,working,0.05915555834420831
152,experience,0.05832591291740092
153,experiences,0.05832591291740092
154,airlines,0.05781752870688257
155,airline,0.05781752870688257
156,highlighting,0.057578786503700144
157,change,0.0575491083561273
158,changes,0.0575491083561273
159,changing,0.0575491083561273
161,strategies,0.05710838204165697
160,strategy,0.05710838204165697
162,rate,0.05704548528218051
164,rates,0.05704548528218051
163,rating,0.05704548528218051
165,planning design,0.05628521796527352
166,leases,0.056119422679313864
170,relating,0.05589691768663298
171,relation,0.05589691768663298
172,relates,0.05589691768663298
169,related,0.05589691768663298
168,relate,0.05589691768663298
167,relations,0.05589691768663298
173,terminal,0.05542993268679631
174,terminals,0.05542993268679631
175,termination,0.05542993268679631
176,terminate,0.05542993268679631
177,terminating,0.05542993268679631
178,terminated,0.05542993268679631
179,income,0.05494392683281459
180,february,0.05455885153665001
183,initial,0.05449281255827339
184,initially,0.05449281255827339
182,initiative,0.05449281255827339
181,initiatives,0.05449281255827339
185,currently,0.05448241855850205
186,sat,0.05431272987829773
187,governance,0.054248975361011226
188,government,0.054248975361011226
189,governing,0.054248975361011226
190,governments,0.054248975361011226
191,leads key,0.05349128901380819
194,supported,0.05340981193939676
195,supports,0.05340981193939676
193,supporting,0.05340981193939676
192,support,0.05340981193939676
196,future,0.053122720366079436
197,retail,0.05298667868516807
198,retailers,0.05298667868516807
199,requirements,0.05266453263574893
200,required,0.05266453263574893
201,requirement,0.05266453263574893
202,require,0.05266453263574893
203,company,0.05231439001421747
204,companies,0.05231439001421747
205,cost savings,0.052055434673501016
208,completing,0.051950604430166
206,completed,0.051950604430166
207,completion,0.051950604430166
209,facilities,0.051835406969783865
210,facility,0.051835406969783865
211,debt,0.05036375767856743
212,debts,0.05036375767856743
